Date,RELIANCE.NS,TCS.NS,TSLA
2025-01-01,,,
2025-01-02,0.016827029703506913,0.015392310712413426,
2025-01-03,0.007529441814037696,-0.018164496309584943,0.08215567328200035
2025-01-06,-0.026495670484899647,-0.001195123989486846,0.0014861742226248698
2025-01-07,0.018760205607393887,-0.016288185032515612,-0.040603340073111505
2025-01-08,0.01986546439436765,0.019884324824047006,0.0014707807875757872
2025-01-09,-0.008494697133453744,-0.01692864947150874,0.0
2025-01-10,-0.01024104070102605,0.05615455705672656,-0.0005064369418008585
2025-01-13,-0.0016507167448225335,0.005966360513453672,0.021710512074366584
2025-01-14,-0.0008871691810375948,-0.013528090423768346,-0.017232432245921525
2025-01-15,0.010857611082177643,0.0039096842282828614,0.08038151439752794
2025-01-16,0.01138000913164694,-0.010189207472323547,-0.03362756026209679
2025-01-17,0.028346965549963965,-0.0014526762356783518,0.030641323404759335
2025-01-20,0.002380295885440198,-0.011274603887530876,0.0
2025-01-21,-0.02432108515219722,-0.010287387437664663,-0.00569752092797482
2025-01-22,0.0026693883355755066,0.029919328523326794,-0.021128638710367298
2025-01-23,-0.010531664616998282,-0.002682493408157516,-0.006576523247056931
2025-01-24,-0.013729990211083898,0.001664578936167116,-0.014064741844588391
2025-01-27,-0.013600350710330056,-0.02100027621857803,-0.023193450212053546
2025-01-28,0.004107958579064652,-0.0061129058083136956,0.0023668700890153715
2025-01-29,0.0008910860517084007,0.014726574700123507,-0.02258280870425211
2025-01-30,0.014204806410186954,6.099130461145741e-05,0.028732954254456988
2025-01-31,0.00961644545190632,0.0030121706578010166,0.010792463618949588
2025-02-01,-0.0003952541600500403,-0.009544268942791478,0.0
2025-02-03,-0.014787187771117871,-0.0011047783960014268,-0.05170542044525339
2025-02-04,0.031543373023227295,0.009438001501692161,0.022232065633156273
2025-02-05,-0.0054466343126137184,-0.003883576467109573,-0.035797094243459227
2025-02-06,0.002620966195432839,-0.002041009353489165,-0.010180622383618276
2025-02-07,-0.011587600097353934,-0.013067237784654018,-0.0339282217314959
2025-02-10,-0.010302329044276082,0.0018738055610021398,-0.030114441341470455
2025-02-11,-0.014996216167547205,-0.01818201839468203,-0.06338211812502892
2025-02-12,-0.014819589803139244,-0.0033808752856321345,0.0243835913717656
2025-02-13,-0.0003699251274362769,-0.010126135822169369,0.05773971683431944
2025-02-14,0.0009456132785348181,0.006316789275294665,-0.0002809633725618932
2025-02-17,0.006284708364159508,-0.0077130677186291186,0.0
2025-02-18,0.0004082259939102162,-0.008016316617628139,-0.004861766535893763
2025-02-19,0.0016728435660231522,-0.02300426973509384,0.018214714280444966
2025-02-20,0.004521595523635513,-0.0012420978043390374,-0.01708454543992588
2025-02-21,-0.003933480806973422,0.0017463390268845913,-0.046839747148427646
2025-02-24,-0.011073565444983391,-0.0291600069755803,-0.021521578674915554
2025-02-25,-0.008686365125215811,-0.012528567566650106,-0.0838955952220366
2025-02-26,0.0,0.0,-0.039630120487999076
2025-02-27,0.0025747328055609753,-0.0046838480831831175,-0.030433204805490277
2025-02-28,-0.0057990343606695305,-0.03579187587811128,0.03912040539724382
2025-03-03,-0.02403966050217987,0.00281347107352925,-0.02843203214376444
2025-03-04,-0.007982871931567215,0.011165042155250493,-0.04429996705409467
2025-03-05,0.011791037549914618,0.004246852939523427,0.025952056083059283
2025-03-06,0.02892140024113332,0.015378907799327601,-0.056073068986891905
2025-03-07,0.033234190762060356,0.0026654768986158484,-0.0029607088371812473
2025-03-10,-0.00912152760140239,-0.005967531091382594,-0.1542620682219512
2025-03-11,0.007186715457569104,-0.003997523228527866,0.037947369642955975
2025-03-12,0.007816857918678366,-0.019327122534225305,0.0759389121683911
2025-03-13,-0.007278886208929469,0.0013832642601672163,-0.02986820819658198
2025-03-14,0.0,0.0,0.038640532386444715
2025-03-17,-0.007252312899922453,-0.003802283009992413,-0.04788383640805238
2025-03-18,0.0,0.0,-0.05335909096824687
2025-03-19,0.006699849341436304,-0.00017157707349013673,0.046824389357219776
2025-03-20,0.017640212849612702,0.018887045065778096,0.0016958954271570903
2025-03-21,0.005673014136038379,0.004195821248133225,0.05269623506518384
2025-03-24,0.02017473148609139,0.014211381048658822,0.11933580126800525
2025-03-25,-0.012787017018420888,0.007936234504680506,0.03502280788451673
2025-03-26,-0.009646359885421396,-0.00600103441108657,-0.05580626179068926
2025-03-27,0.004045309001149411,0.004235706522475402,0.0039329829222258805
2025-03-28,-0.0024252686646160093,-0.01233849232315165,-0.03507493471452938
2025-03-31,0.0,0.0,-0.016657121359109794
2025-04-01,-0.017645697364857216,-0.01534875983855577,0.035885119854736525
2025-04-02,-0.001157479996779065,-0.0019290472808286552,0.05326685079977622
2025-04-03,-0.0019582414871938125,-0.03972969790856262,-0.05474611137253549
2025-04-04,-0.035236730882516665,-0.030486436354654534,-0.10419786826814681
2025-04-07,-0.03237320012537581,-0.007683209700755533,-0.025644236634809525
2025-04-08,0.014154659879601628,0.005772636293749578,-0.048994783337158565
2025-04-09,0.0026645084100167526,-0.014075545798640454,0.22689989839624536
2025-04-10,0.0,0.0,-0.07274069589492627
2025-04-11,0.02834603302253491,-0.004651056045054225,-0.00035656236159631316
2025-04-14,0.0,0.0,0.00015856900364230597
2025-04-15,0.017351043116696552,0.005167940681273464,0.0069744183248166
2025-04-16,-0.0006450569141414064,0.007881298798851244,-0.049427403598542585
2025-04-17,0.028403098904663304,0.007666910079006772,-0.0007452201709629014
2025-04-21,0.016476986482864886,0.006881061977257241,-0.05746362595919796
2025-04-22,-0.003319137245686554,-0.002167625937082307,0.04602198338770602
2025-04-23,0.006815381959146771,0.029749006404142797,0.0536622440095611
2025-04-24,0.0012307636032609093,-0.003340126468049043,0.0349764859229853
2025-04-25,-0.00092191447484824,0.013640587938632764,0.09803091011549903
2025-04-28,0.05259921775599641,-0.0013051568308884987,0.0032637046356942534
2025-04-29,0.022574441711784132,0.008421733775306306,0.021512501019458785
2025-04-30,0.0037865358682445116,-0.005414004839749187,-0.03379788089732105
2025-05-01,0.0,0.0,-0.005812356915055328
2025-05-02,0.0105338689707426,-0.006572642571925913,0.023848576584252656
2025-05-05,0.008099711223408246,0.00679104061734126,-0.024198258752220814
2025-05-06,-0.007266131195719505,0.0016500957577614273,-0.017519458684867262
2025-05-07,-0.010486376706539735,-0.004306380519730868,0.003159597232260225
2025-05-08,0.0007112888248419491,0.0011030260009878834,0.031134624811778533
2025-05-09,-0.021179860130747574,-0.002493556110248707,0.04718770485146129
2025-05-12,0.04305836840007893,0.0523501390929586,0.06745790403815088
2025-05-13,-0.014479658083635383,-0.029112806482860965,0.049280740626853614
2025-05-14,0.006145466662176524,0.009587469491247003,0.04073991993646375
2025-05-15,0.020921047503038803,0.008792006105087236,-0.013978329078298546
2025-05-16,0.0015128840393894283,-0.005195771332722199,0.0208856061756566
